bookid,facid,memid,starttime,slots
0,3,1,2012-07-03T11:00:00.000+03:00,2
1,4,1,2012-07-03T08:00:00.000+03:00,2
2,6,0,2012-07-03T18:00:00.000+03:00,2
3,7,1,2012-07-03T19:00:00.000+03:00,2
4,8,1,2012-07-03T10:00:00.000+03:00,1
5,8,1,2012-07-03T15:00:00.000+03:00,1
6,0,2,2012-07-04T09:00:00.000+03:00,3
7,0,2,2012-07-04T15:00:00.000+03:00,3
8,4,3,2012-07-04T13:30:00.000+03:00,2
9,4,0,2012-07-04T15:00:00.000+03:00,2
10,4,0,2012-07-04T17:30:00.000+03:00,2
11,6,0,2012-07-04T12:30:00.000+03:00,2
12,6,0,2012-07-04T14:00:00.000+03:00,2
13,6,1,2012-07-04T15:30:00.000+03:00,2
14,7,2,2012-07-04T14:00:00.000+03:00,2
15,8,2,2012-07-04T12:00:00.000+03:00,1
16,8,3,2012-07-04T18:00:00.000+03:00,1
17,1,0,2012-07-05T17:30:00.000+03:00,3
18,2,1,2012-07-05T09:30:00.000+03:00,3
19,3,3,2012-07-05T09:00:00.000+03:00,2
20,3,1,2012-07-05T19:00:00.000+03:00,2
